name,category,address,latitude,longitude,distance_miles,direction,distance_label,rating,source,notes
Walmart Garden Center,Retail & Big Box,"802 East US Highway 80, Forney",32.7437753,-96.4476443,1.58,ESE,ESE - 1.58 mi,3.8,Google Places,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment"
Walmart Vision & Glasses,Retail & Big Box,"802 East US Highway 80, Forney",32.7435309,-96.4477546,1.58,ESE,ESE - 1.58 mi,4.1,Google Places,"health, store, point_of_interest, establishment"
Walmart Business Center,Technology & Innovation,"802 East US Highway 80, Forney",32.7435309,-96.4477546,1.58,ESE,ESE - 1.58 mi,,Google Places,"electronics_store, furniture_store, home_goods_store, store, point_of_interest, establishment"
SNOWFOX Sushi @Tom Thumb,Restaurant & QSR,"435 Farm to Market 548, Forney",32.7316902,-96.45920509999999,1.58,SSE,SSE - 1.58 mi,5,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Solo Crust By Kay,Restaurant & QSR,"802 East US Highway 80, Forney",32.7435309,-96.4477546,1.58,ESE,ESE - 1.58 mi,,Google Places,"bakery, food, store, point_of_interest, establishment"
Chevron,Gas & Convenience,"FM 548 and FM 1641, Forney",32.7366411,-96.4524392,1.58,SE,SE - 1.58 mi,4.3,Google Places,"gas_station, convenience_store, car_repair, car_dealer, store, food, point_of_interest, establishment"
Coinstar Kiosk,Financial Services,"435 Farm to Market 548, Forney",32.7316902,-96.45920509999999,1.58,SSE,SSE - 1.58 mi,,Google Places,"atm, finance, point_of_interest, store, establishment"
FM 1641,Transportation & Infrastructure,4 businesses on this road within radius,32.7511104,-96.4734864,1.58,N/A,~1.58 mi (nearest business on road),,Derived from Google Places addresses,Farm to Market Road
FM 548,Transportation & Infrastructure,1 business on this road within radius,32.7511104,-96.4734864,1.58,N/A,~1.58 mi (nearest business on road),,Derived from Google Places addresses,Farm to Market Road
Walmart Auto Care Center,Retail & Big Box,"802 East US Highway 80, Forney",32.74352510000001,-96.44774199999999,1.59,ESE,ESE - 1.59 mi,2.5,Google Places,"car_repair, store, point_of_interest, establishment"
Starbucks,Restaurant & QSR,"435 Farm to Market 548, Forney",32.7317566,-96.45871969999999,1.59,SSE,SSE - 1.59 mi,2.3,Google Places,"cafe, store, food, point_of_interest, establishment"
Murphy USA,Gas & Convenience,"802-A East US Highway 80, Forney",32.7434632,-96.44773850000001,1.59,ESE,ESE - 1.59 mi,3.7,Google Places,"gas_station, convenience_store, store, food, point_of_interest, establishment"
First State Bank,Financial Services,"119 South Farm to Market 548, Forney",32.739577,-96.4497513,1.59,ESE,ESE - 1.59 mi,4.7,Google Places,"bank, finance, point_of_interest, establishment"
Forney Municipal Court,Government & Civic,"331 South Farm to Market 548, Forney",32.7338219,-96.4549569,1.61,SE,SE - 1.61 mi,1.7,Google Places,"courthouse, point_of_interest, establishment"
AMC CLASSIC Forney 12,Sports & Entertainment,"600 North Farm to Market 548, Forney",32.7481682,-96.4458781,1.62,E,E - 1.62 mi,3.8,Google Places,"movie_theater, point_of_interest, establishment"
Chili's Grill & Bar,Restaurant & QSR,"824 U.S. 80, Forney",32.74314599999999,-96.447274,1.62,ESE,ESE - 1.62 mi,3.9,Google Places,"restaurant, bar, food, point_of_interest, establishment"
Crumbl,Restaurant & QSR,"823 Farm to Market 548 Ste 120 Suite 120, Forney",32.7504921,-96.44549149999999,1.63,E,E - 1.63 mi,4.7,Google Places,"bakery, food, store, point_of_interest, establishment"
Buttermilk Sky Pie Shop,Restaurant & QSR,"845 Farm to Market 548 Suite 100, Forney",32.7506063,-96.4452194,1.64,E,E - 1.64 mi,4.7,Google Places,"bakery, food, store, point_of_interest, establishment"
Tom Thumb Express,Gas & Convenience,"425 South Farm to Market 548, Forney",32.7315009,-96.4575686,1.64,SE,SE - 1.64 mi,4.6,Google Places,"gas_station, store, point_of_interest, establishment"
Park Trails Greenspace,Parks & Recreation,Forney,32.7595241,-96.4471732,1.64,ENE,ENE - 1.64 mi,4,Google Places,"park, point_of_interest, establishment"
More donuts,Restaurant & QSR,"845 fm n 548, 845 Farm to Market 548 #120, Forney",32.7507027,-96.4451703,1.65,E,E - 1.65 mi,4.3,Google Places,"bakery, food, store, point_of_interest, establishment"
Walmart Supercenter,Retail & Big Box,"802 East US Highway 80, Forney",32.7453133,-96.4458482,1.66,ESE,ESE - 1.66 mi,3.9,Google Places,"department_store, hardware_store, furniture_store, home_goods_store, grocery_or_supermarket, clothing_store, electronics_store, bakery, food, point_of_interest, store, establishment"
Rush My Passport,Government & Civic,"Walmart Store #5191 inside FedEx Office, 802 East US Highway 80, Forney",32.7453133,-96.4458482,1.66,ESE,ESE - 1.66 mi,,Google Places,"local_government_office, point_of_interest, establishment"
RaceTrac,Restaurant & QSR,"30 North Farm to Market 548, Forney",32.7400222,-96.4481452,1.66,ESE,ESE - 1.66 mi,3.4,Google Places,"gas_station, liquor_store, convenience_store, meal_takeaway, cafe, store, restaurant, food, point_of_interest, establishment"
Fieldcrest Community Park,Parks & Recreation,"1015 Old Oaks Drive, Heartland",32.7726238,-96.4861711,1.66,NNW,NNW - 1.66 mi,,Google Places,"park, point_of_interest, establishment"
Walmart Pharmacy,Healthcare,"802 East US Highway 80, Forney",32.745289,-96.4456743,1.67,ESE,ESE - 1.67 mi,2.6,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Subway,Restaurant & QSR,"802 U.S. 80, Forney",32.7452651,-96.4456453,1.67,ESE,ESE - 1.67 mi,3.6,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Walmart Bakery,Restaurant & QSR,"802 East US Highway 80, Forney",32.7450767,-96.4455742,1.67,ESE,ESE - 1.67 mi,4,Google Places,"bakery, food, store, point_of_interest, establishment"
First Convenience Bank,Financial Services,"802 U.S. 80, Forney",32.7450656,-96.44573969999999,1.67,ESE,ESE - 1.67 mi,4.6,Google Places,"bank, atm, finance, point_of_interest, establishment"
PNC Bank,Financial Services,"1134 Farm to Market Road 741, Forney",32.7301973,-96.4591561,1.67,SSE,SSE - 1.67 mi,4.7,Google Places,"bank, atm, finance, point_of_interest, establishment"
SmartStyle,Retail & Big Box,"802 East US Highway 80, Forney",32.74515399999999,-96.4455009,1.68,ESE,ESE - 1.68 mi,3.7,Google Places,"hair_care, beauty_salon, health, point_of_interest, establishment"
Mattress Firm Forney,Retail & Big Box,"862 East US Highway 80, Forney",32.7427498,-96.4461836,1.69,ESE,ESE - 1.69 mi,4.9,Google Places,"furniture_store, home_goods_store, store, point_of_interest, establishment"
ALDI,Retail & Big Box,"895 North Farm to Market 548, Forney",32.75136000000001,-96.44422999999999,1.7,E,E - 1.7 mi,4.5,Google Places,"supermarket, grocery_or_supermarket, food, store, point_of_interest, establishment"
The Hole Thing Donuts,Restaurant & QSR,"571 Farm to Market 548 #128, Forney",32.7293413,-96.4598776,1.7,SSE,SSE - 1.7 mi,4.4,Google Places,"bakery, restaurant, food, store, point_of_interest, establishment"
Marco's Pizza,Restaurant & QSR,"571 Farm to Market 548 Suite 118, Forney",32.7290882,-96.46018289999999,1.71,SSE,SSE - 1.71 mi,4,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Dutch Bros Coffee,Restaurant & QSR,"870 North Farm to Market 548, Forney",32.75055,-96.44378999999999,1.73,E,E - 1.73 mi,4.5,Google Places,"cafe, store, food, point_of_interest, establishment"
Queen Donuts,Restaurant & QSR,"476 Farm to Market 548 Suite 150, Forney",32.729998,-96.45754459999999,1.73,SSE,SSE - 1.73 mi,4.2,Google Places,"bakery, food, store, point_of_interest, establishment"
Nothing Bundt Cakes,Restaurant & QSR,"476 Farm to Market 548 Suite 170, Forney",32.7298299,-96.4578635,1.73,SSE,SSE - 1.73 mi,4.2,Google Places,"bakery, food, store, point_of_interest, establishment"
7-Eleven Fuel,Gas & Convenience,"490 Farm to Market 548, Forney",32.729478,-96.458252,1.74,SSE,SSE - 1.74 mi,,Google Places,"gas_station, point_of_interest, establishment"
7-Eleven,Restaurant & QSR,"490 Farm to Market 548, Forney",32.72935309999999,-96.4581273,1.75,SSE,SSE - 1.75 mi,3,Google Places,"convenience_store, liquor_store, cafe, restaurant, food, store, point_of_interest, establishment"
Texas Bank and Trust,Financial Services,"648 Ridgecrest Road, Forney",32.7521344,-96.4432916,1.76,E,E - 1.76 mi,4.2,Google Places,"bank, finance, point_of_interest, establishment"
Innovation Ridge Logistics Park Building 3,Industrial & Logistics,"721 Ridgecrest Road, Forney",32.74957569999999,-96.442916,1.78,E,E - 1.78 mi,,Google Places,"storage, point_of_interest, establishment"
Pizza Hut,Restaurant & QSR,"924 U.S. 80, Forney",32.742472,-96.4446428,1.78,ESE,ESE - 1.78 mi,4.1,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Panda Express,Retail & Big Box,"950 East US Highway 80, Forney",32.7422846,-96.4443211,1.8,ESE,ESE - 1.8 mi,3.5,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Lowe's Home Improvement,Retail & Big Box,"902 East US Highway 80, Forney",32.743842,-96.443371,1.82,ESE,ESE - 1.82 mi,4.1,Google Places,"hardware_store, furniture_store, home_goods_store, store, point_of_interest, establishment"
Steve Silver Company,Retail & Big Box,"1000 Farm to Market 548, Forney",32.7513577,-96.44219869999999,1.82,E,E - 1.82 mi,3.6,Google Places,"furniture_store, home_goods_store, store, point_of_interest, establishment"
Innovation Ridge Logistics Park Building 3,Industrial & Logistics,"733 Ridgecrest Road, Forney",32.7497807,-96.44217119999999,1.82,E,E - 1.82 mi,,Google Places,"storage, point_of_interest, establishment"
Whataburger,Restaurant & QSR,"962 U.S. 80, Forney",32.7422564,-96.44386159999999,1.83,ESE,ESE - 1.83 mi,3.5,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
AutoZone Auto Parts,Retail & Big Box,"972 East US Highway 80, Forney",32.74229869999999,-96.44342900000001,1.85,ESE,ESE - 1.85 mi,4.3,Google Places,"car_repair, store, point_of_interest, establishment"
Ridge Road Shopping Center,Retail & Big Box,"680 Innovation Boulevard, Forney",32.774987,-96.45875629999999,1.86,NNE,NNE - 1.86 mi,4.4,Google Places,"shopping_mall, point_of_interest, establishment"
Bunzl distribution,Industrial & Logistics,"733 Ridgecrest Road, Forney",32.7463614,-96.4418796,1.87,E,E - 1.87 mi,1,Google Places,"storage, point_of_interest, establishment"
White Rhino Coffee,Restaurant & QSR,"680 Innovation Boulevard #1221, Forney",32.775228,-96.4584651,1.88,NNE,NNE - 1.88 mi,4,Google Places,"cafe, store, restaurant, food, point_of_interest, establishment"
O'Reilly Auto Parts,Technology & Innovation,"982 East US Highway 80, Forney",32.74217550000001,-96.44281,1.89,ESE,ESE - 1.89 mi,4.3,Google Places,"electronics_store, car_repair, store, point_of_interest, establishment"
Tellus Self Storage - Forney Commercial & Recreational,Industrial & Logistics,"140 Don T-Cates, Forney",32.752814,-96.44091700000001,1.9,E,E - 1.9 mi,5,Google Places,"storage, point_of_interest, establishment"
Johnnie Wine Convenience Store,Gas & Convenience,"11511 Walnut Lane Suite 130, Forney",32.7235472,-96.4729326,1.9,S,S - 1.9 mi,5,Google Places,"convenience_store, food, store, point_of_interest, establishment"
Opportunity Central,School & University,"680 Innovation Boulevard, Forney",32.7754856,-96.45813389999999,1.91,NNE,NNE - 1.91 mi,,Google Places,"secondary_school, university, school, point_of_interest, establishment"
Crosby Elementary School,School & University,"495 Diamond Creek Drive, Forney",32.75942990000001,-96.4419631,1.92,ENE,ENE - 1.92 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
Tellus Self Storage - Forney,Industrial & Logistics,"1002 Farm to Market 548, Forney",32.753588,-96.43986199999999,1.96,E,E - 1.96 mi,4.7,Google Places,"moving_company, storage, point_of_interest, establishment"
Exxon,Gas & Convenience,United States,32.7538866,-96.4393441,1.99,E,E - 1.99 mi,4,Google Places,"gas_station, point_of_interest, establishment"
7-Eleven Fuel,Gas & Convenience,"15401 Farm to Market 460, Forney",32.7798062,-96.4772572,1.99,N,N - 1.99 mi,5,Google Places,"gas_station, point_of_interest, establishment"
Forney Fuel,Gas & Convenience,"1150 Farm to Market 548, Forney",32.7538405,-96.4392934,2.0,E,E - 2.0 mi,3.8,Google Places,"gas_station, point_of_interest, establishment"
7-Eleven,Gas & Convenience,"15401 Farm to Market 460, Forney",32.7798291,-96.4772662,2.0,N,N - 2.0 mi,3.1,Google Places,"convenience_store, food, store, point_of_interest, establishment"
Forney City Bank Stadium,Retail & Big Box,"800 Farm to Market Road 741, Forney",32.72391379999999,-96.458835,2.06,SSE,SSE - 2.06 mi,4.4,Google Places,"stadium, point_of_interest, establishment"
The Junction Coffee,Restaurant & QSR,"18222 Farm to Market Road 740, Forney",32.7809404,-96.4753973,2.06,N,N - 2.06 mi,4.3,Google Places,"cafe, store, food, point_of_interest, establishment"
Forney High School,Retail & Big Box,"1800 College Avenue, Forney",32.72430360000001,-96.4573128,2.08,SSE,SSE - 2.08 mi,,Google Places,"secondary_school, school, point_of_interest, establishment"
Innovation Ridge Logistics Park Building 1,Industrial & Logistics,"755 Ridgecrest Road, Forney",32.7457842,-96.4376084,2.12,E,E - 2.12 mi,1,Google Places,"storage, point_of_interest, establishment"
Trinity Crossing community pool,Parks & Recreation,"2000 Apollo Drive, Forney",32.781468,-96.478443,2.12,N,N - 2.12 mi,,Google Places,"park, point_of_interest, establishment"
Noah Xpress LLC,Industrial & Logistics,"514 Tuscany Drive, Forney",32.76033979999999,-96.4384566,2.13,ENE,ENE - 2.13 mi,,Google Places,"moving_company, point_of_interest, establishment"
7-Eleven Fuel,Gas & Convenience,"1340 Farm to Market 548, Forney",32.7561515,-96.43704,2.15,E,E - 2.15 mi,2.3,Google Places,"gas_station, point_of_interest, establishment"
Roll of Fabrics,Retail & Big Box,"12240 Currency Circle, Forney",32.73644000000001,-96.44039199999999,2.17,ESE,ESE - 2.17 mi,1,Google Places,"home_goods_store, store, point_of_interest, establishment"
7-Eleven,Gas & Convenience,"1340 Farm to Market 548, Forney",32.75616529999999,-96.43669779999999,2.17,E,E - 2.17 mi,2.6,Google Places,"convenience_store, food, store, point_of_interest, establishment"
"DavCor Services, LLC",Industrial & Logistics,"12240 Currency Circle, Forney",32.7364183,-96.440313,2.18,ESE,ESE - 2.18 mi,4.5,Google Places,"storage, store, point_of_interest, establishment"
Tileofluxury,Retail & Big Box,"10478 U.S. 80, Forney",32.7418916,-96.4373,2.2,ESE,ESE - 2.2 mi,5,Google Places,"home_goods_store, store, point_of_interest, establishment"
Antiques and vintage Dallas,Retail & Big Box,"10486 West US Highway 80, Forney",32.7419146,-96.43669659999999,2.23,ESE,ESE - 2.23 mi,2.5,Google Places,"home_goods_store, store, car_repair, point_of_interest, establishment"
The Sip Society,Restaurant & QSR,"11102 Walnut Lane, Forney",32.7189602,-96.47699829999999,2.23,S,S - 2.23 mi,5,Google Places,"cafe, store, food, point_of_interest, establishment"
Antiques & Vintage Texas,Retail & Big Box,"10470 West US Highway 80, Forney",32.7419204,-96.4363147,2.25,ESE,ESE - 2.25 mi,4.2,Google Places,"home_goods_store, finance, store, point_of_interest, establishment"
Regal Designer Delivery L.L.C.,Industrial & Logistics,"11828 North Profit Row, Forney",32.73203170000001,-96.4402393,2.34,SE,SE - 2.34 mi,4.3,Google Places,"moving_company, storage, point_of_interest, establishment"
Just My Cup of Tea,Restaurant & QSR,"10380 West US Highway 80, Forney",32.7418935,-96.43439099999999,2.36,ESE,ESE - 2.36 mi,2.6,Google Places,"cafe, food, point_of_interest, establishment"
Sunbelt Self Storage,Industrial & Logistics,"13975 Farm to Market 548, Forney",32.7596373,-96.4336619,2.39,ENE,ENE - 2.39 mi,4.9,Google Places,"storage, point_of_interest, establishment"
Forney Fire Station 2,Government & Civic,"980 Reeder Lane, Forney",32.7573723,-96.43284729999999,2.4,E,E - 2.4 mi,5,Google Places,"fire_station, point_of_interest, establishment"
Green Office Solutions,Retail & Big Box,"13038 South Profit Row, Forney",32.733973,-96.43743309999999,2.41,ESE,ESE - 2.41 mi,4.7,Google Places,"moving_company, furniture_store, home_goods_store, finance, store, point_of_interest, establishment"
Gateway Gas Station,Gas & Convenience,"13975 Farm to Market 548, Forney",32.7588636,-96.4331318,2.41,ENE,ENE - 2.41 mi,3.6,Google Places,"gas_station, point_of_interest, establishment"
Donut Supreme,Restaurant & QSR,"13980 Farm to Market 548, Forney",32.7592042,-96.43264160000001,2.44,ENE,ENE - 2.44 mi,4.8,Google Places,"bakery, food, store, point_of_interest, establishment"
Johnson Elementary School,School & University,"10835 Walnut Lane, Forney",32.7163428,-96.48213810000001,2.45,SSW,SSW - 2.45 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
Kaufman-Van Zandt-Rockwall Soil and Water Conservation District #505,Government & Civic,"8620 Farm to Market Road 741, Forney",32.7219837,-96.4494658,2.45,SE,SE - 2.45 mi,,Google Places,"local_government_office, point_of_interest, establishment"
Little Red's Antiques,Retail & Big Box,"10274 West US Highway 80, Forney",32.7416954,-96.4325942,2.46,ESE,ESE - 2.46 mi,4.4,Google Places,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment"
Ascribe Rx,Healthcare,"13020 Farm to Market Road 1641, Heath",32.7316616,-96.43734010000001,2.49,ESE,ESE - 2.49 mi,,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Storage 365,Industrial & Logistics,"18721 Farm to Market Road 740, Forney",32.7871991,-96.4775777,2.5,N,N - 2.5 mi,5,Google Places,"storage, point_of_interest, establishment"
Grayhawk Neighborhood Park & Pool,Parks & Recreation,"Flamingo Road, Forney",32.7146566,-96.4760666,2.52,S,S - 2.52 mi,4.5,Google Places,"park, point_of_interest, establishment"
Delphi Cabinet Designs,Retail & Big Box,"12950 Farm to Market Road 1641, Forney",32.7315797,-96.4353356,2.6,ESE,ESE - 2.6 mi,,Google Places,"furniture_store, home_goods_store, store, point_of_interest, establishment"
Texas Health Hospital Forney,Healthcare,"12800 Reeder Road, Forney",32.7430729,-96.428185,2.69,ESE,ESE - 2.69 mi,5,Google Places,"hospital, health, point_of_interest, establishment"
Forney Fire Station #3,Government & Civic,"12487 Windy Lane, Forney",32.7184293,-96.4464849,2.75,SE,SE - 2.75 mi,,Google Places,"fire_station, point_of_interest, establishment"
Travis Ranch Pavillion and Soccer Fields,Parks & Recreation,"2201 Doole Court, Forney",32.7919755,-96.4766678,2.83,N,N - 2.83 mi,,Google Places,"park, point_of_interest, establishment"
BJ's Wholesale Club,Technology & Innovation,"11150 East US Highway 80, Forney",32.7435494,-96.42484499999999,2.87,E,E - 2.87 mi,4.4,Google Places,"gas_station, bakery, liquor_store, electronics_store, grocery_or_supermarket, car_repair, food, health, store, point_of_interest, establishment"
Goat Farm Coffee House,Restaurant & QSR,"12620 Farm to Market Road 1641, Forney",32.7267418,-96.4331314,2.89,SE,SE - 2.89 mi,4.5,Google Places,"cafe, store, food, point_of_interest, establishment"
Hayes Retail Services,Industrial & Logistics,"11333 County Road 212, Forney",32.73750770000001,-96.4263522,2.9,ESE,ESE - 2.9 mi,3.8,Google Places,"storage, point_of_interest, establishment"
BJ's Gas Station,Gas & Convenience,"11160 East US Highway 80, Forney",32.741353,-96.4249045,2.9,ESE,ESE - 2.9 mi,5,Google Places,"gas_station, store, point_of_interest, establishment"
CR 212,Transportation & Infrastructure,1 business on this road within radius,32.7511104,-96.4734864,2.9,N/A,~2.9 mi (nearest business on road),,Derived from Google Places addresses,County Road
EVO Entertainment + EVX + IMAX® - Forney,Sports & Entertainment,"1065 Cypress Hollow Drive, Forney",32.74359680000001,-96.42291259999999,2.98,E,E - 2.98 mi,4.8,Google Places,"movie_theater, point_of_interest, establishment"
